year,h_name,payroll,rank
2000,NYA,92538260,1
2000,LAN,88124286,2
2000,ATL,84537836,3
2000,BAL,81447435,4
2000,ARI,81027833,5
2000,NYN,79509776,6
2000,BOS,77940333,7
2000,CLE,75880871,8
2000,TEX,70795921,9
2000,TBA,62765129,10
2000,SLN,61453863,11
2000,COL,61111190,12
2000,CHN,60539333,13
2000,SEA,58915000,14
2000,DET,58265167,15
2000,SDN,54821000,16
2000,SFN,53737826,17
2000,ANA,51464167,18
2000,HOU,51289111,19
2000,PHI,47308000,20
2000,CIN,46867200,21
2000,TOR,46238333,22
2000,MIL,36505333,23
2000,MON,34807833,24
2000,OAK,31971333,25
2000,CHA,31133500,26
2000,PIT,28928333,27
2000,KCA,23433000,28
2000,FLO,20072000,29
2000,MIN,16519500,30
2001,NYA,109791893,1
2001,BOS,109558908,2
2001,LAN,108980952,3
2001,NYN,93174428,4
2001,CLE,91974979,5
2001,ATL,91851687,6
2001,TEX,88504421,7
2001,ARI,81206513,8
2001,SLN,77270855,9
2001,TOR,75798500,10
2001,SEA,75652500,11
2001,BAL,72426328,12
2001,COL,71068000,13
2001,CHN,64015833,14
2001,SFN,63332667,15
2001,CHA,62363000,16
2001,HOU,60382667,17
2001,TBA,54951602,18
2001,PIT,52698333,19
2001,DET,49831167,20
2001,ANA,46568180,21
2001,CIN,45227882,22
2001,MIL,43089333,23
2001,PHI,41664167,24
2001,SDN,38333117,25
2001,KCN,35643000,26
2001,FLO,35504167,27
2001,MON,34774500,28
2001,OAK,33810750,29
2001,MIN,24350000,30
2002,NYA,125928583,1
2002,BOS,108366060,2
2002,TEX,105302124,3
2002,ARI,102820000,4
2002,LAN,94850952,5
2002,NYN,94633593,6
2002,ATL,93470367,7
2002,SEA,80282668,8
2002,CLE,78909448,9
2002,SFN,78299835,10
2002,TOR,76864333,11
2002,CHN,75690833,12
2002,SLN,74098267,13
2002,HOU,63448417,14
2002,ANA,61721667,15
2002,BAL,60493487,16
2002,PHI,57955000,17
2002,CHA,57052833,18
2002,COL,56851043,19
2002,DET,55048000,20
2002,MIL,50287833,21
2002,KCN,47257000,22
2002,CIN,45050390,23
2002,PIT,42323598,24
2002,FLO,41979917,25
2002,SDN,41425000,26
2002,MIN,40225000,27
2002,OAK,39679746,28
2002,MON,38670500,29
2002,TBA,34380000,30
2003,NYA,152749814,1
2003,NYN,117176429,2
2003,ATL,106243667,3
2003,LAN,105872620,4
2003,TEX,103491667,5
2003,BOS,99946500,6
2003,SEA,86959167,7
2003,SLN,83486666,8
2003,SFN,82852167,9
2003,ARI,80640333,10
2003,CHN,79868333,11
2003,ANA,79031667,12
2003,BAL,73877500,13
2003,HOU,71040000,14
2003,PHI,70780000,15
2003,COL,67179667,16
2003,CIN,59355667,17
2003,MIN,55505000,18
2003,PIT,54812429,19
2003,MON,51948500,20
2003,TOR,51269000,21
2003,CHA,51010000,22
2003,OAK,50260834,23
2003,DET,49168000,24
2003,FLO,49050000,25
2003,CLE,48584834,26
2003,SDN,47928000,27
2003,MIL,40627000,28
2003,KCN,40518000,29
2003,TBA,19630000,30
2004,NYA,182835513,1
2004,BOS,125208542,2
2004,ANA,101084667,3
2004,NYN,100629303,4
2004,PHI,93219167,5
2004,CHN,91101667,6
2004,LAN,89694342,7
2004,ATL,88507788,8
2004,SFN,82019167,9
2004,SEA,81543833,10
2004,SLN,75633517,11
2004,HOU,74666303,12
2004,ARI,70204984,13
2004,CHA,65212500,14
2004,COL,64590403,15
2004,OAK,59825167,16
2004,TEX,54825973,17
2004,SDN,54639503,18
2004,MIN,53585000,19
2004,BAL,51212653,20
2004,TOR,50017000,21
2004,KCN,47609000,22
2004,DET,46353554,23
2004,MON,43197500,24
2004,CIN,43067858,25
2004,FLO,42118042,26
2004,CLE,34569300,27
2004,PIT,32227929,28
2004,TBA,29506667,29
2004,MIL,27518500,30
2005,NYA,205938439,1
2005,BOS,121311945,2
2005,NYN,104770139,3
2005,PHI,95337908,4
2005,ANA,95017822,5
2005,SLN,93319842,6
2005,SFN,89487842,7
2005,CHN,87210933,8
2005,SEA,85883333,9
2005,ATL,85148582,10
2005,LAN,81029500,11
2005,HOU,76779022,12
2005,CHA,75228000,13
2005,BAL,74570539,14
2005,DET,68998183,15
2005,ARI,63015834,16
2005,SDN,62888192,17
2005,FLO,60375961,18
2005,CIN,59658275,19
2005,MIN,56615000,20
2005,OAK,55869262,21
2005,TEX,55307258,22
2005,WAS,48581500,23
2005,COL,47789000,24
2005,TOR,45336500,25
2005,CLE,41830400,26
2005,MIL,40234833,27
2005,PIT,38138000,28
2005,KCN,36881000,29
2005,TBA,29893567,30
2006,NYA,194663079,1
2006,BOS,120099824,2
2006,ANA,103472000,3
2006,CHA,102750667,4
2006,NYN,101084963,5
2006,LAN,98447187,6
2006,CHN,94424499,7
2006,HOU,92551503,8
2006,ATL,90156876,9
2006,SFN,90056419,10
2006,SLN,88891371,11
2006,PHI,88273333,12
2006,SEA,87959833,13
2006,DET,82612866,14
2006,BAL,72585582,15
2006,TOR,71915000,16
2006,SDN,69896141,17
2006,TEX,68228662,18
2006,MIN,63396006,19
2006,WAS,63143000,20
2006,OAK,62243079,21
2006,CIN,60909519,22
2006,ARI,59684226,23
2006,MIL,57568333,24
2006,CLE,56031500,25
2006,KCN,47294000,26
2006,PIT,46717750,27
2006,COL,41233000,28
2006,TBA,35417967,29
2006,FLO,14998500,30
2007,NYA,189639045,1
2007,BOS,143026214,2
2007,NYN,115231663,3
2007,ANA,109251333,4
2007,CHA,108671833,5
2007,LAN,108454524,6
2007,SEA,106460833,7
2007,CHN,99670332,8
2007,DET,95180369,9
2007,BAL,93554808,10
2007,SLN,90286823,11
2007,SFN,90219056,12
2007,PHI,89428213,13
2007,HOU,87759000,14
2007,ATL,87290833,15
2007,TOR,81942800,16
2007,OAK,79366940,17
2007,MIN,71439500,18
2007,MIL,70986500,19
2007,CIN,68904980,20
2007,TEX,68318675,21
2007,KCN,67116500,22
2007,CLE,61673267,23
2007,SDN,58110567,24
2007,COL,54424000,25
2007,ARI,52067546,26
2007,PIT,38537833,27
2007,WAS,37347500,28
2007,FLO,30507000,29
2007,TBA,24123500,30
2008,NYA,209081577,1
2008,NYN,137793376,2
2008,DET,137685196,3
2008,BOS,133390035,4
2008,CHA,121189332,5
2008,ANA,119216333,6
2008,LAN,118588536,7
2008,CHN,118345833,8
2008,SEA,117666482,9
2008,ATL,102365683,10
2008,SLN,99624449,11
2008,PHI,98269880,12
2008,TOR,97793900,13
2008,HOU,88930414,14
2008,MIL,80937499,15
2008,CLE,78970066,16
2008,SFN,76594500,17
2008,CIN,74117695,18
2008,SDN,73677616,19
2008,COL,68655500,20
2008,TEX,67712326,21
2008,BAL,67196246,22
2008,ARI,66202712,23
2008,KCN,58245500,24
2008,MIN,56932766,25
2008,WAS,54961000,26
2008,PIT,48689783,27
2008,OAK,47967126,28
2008,TBA,43820597,29
2008,FLO,21811500,30
2009,NYA,201449289,1
2009,NYN,135773988,2
2009,CHN,135050000,3
2009,BOS,122696000,4
2009,DET,115085145,5
2009,ANA,113709000,6
2009,PHI,113004048,7
2009,HOU,102996415,8
2009,LAN,100458101,9
2009,SEA,98904167,10
2009,ATL,96726167,11
2009,CHA,96068500,12
2009,SLN,88528411,13
2009,SFN,82161450,14
2009,CLE,81625567,15
2009,TOR,80993657,16
2009,MIL,80257502,17
2009,COL,75201000,18
2009,ARI,73571667,19
2009,CIN,70968500,20
2009,KCN,70908333,21
2009,TEX,68646023,22
2009,BAL,67101667,23
2009,MIN,65299267,24
2009,TBA,63313035,25
2009,OAK,62310000,26
2009,WAS,59328000,27
2009,PIT,48743000,28
2009,SDN,42796700,29
2009,FLO,36814000,30
2010,NYA,206333389,1
2010,BOS,162747333,2
2010,CHN,146859000,3
2010,PHI,141927381,4
2010,NYN,132701445,5
2010,DET,122864929,6
2010,CHA,108273197,7
2010,ANA,105013667,8
2010,SEA,98376667,9
2010,SFN,97828833,10
2010,MIN,97559167,11
2010,LAN,94945517,12
2010,SLN,93540753,13
2010,HOU,92355500,14
2010,ATL,84423667,15
2010,COL,84227000,16
2010,BAL,81612500,17
2010,MIL,81108279,18
2010,CIN,72386544,19
2010,KCN,72267710,20
2010,TBA,71923471,21
2010,TOR,62689357,22
2010,WAS,61425000,23
2010,CLE,61203967,24
2010,ARI,60718167,25
2010,FLO,55641500,26
2010,TEX,55250545,27
2010,OAK,51654900,28
2010,SDN,37799300,29
2010,PIT,34943000,30
2011,NYA,201689030,1
2011,PHI,172976381,2
2011,BOS,161407476,3
2011,ANA,138998524,4
2011,CHA,129285539,5
2011,CHN,125480664,6
2011,NYN,120147310,7
2011,SFN,118216333,8
2011,MIN,112737000,9
2011,DET,105705232,10
2011,SLN,105433572,11
2011,LAN,103788990,12
2011,TEX,92299265,13
2011,COL,87998071,14
2011,ATL,87003192,15
2011,SEA,86424600,16
2011,MIL,85497333,17
2011,BAL,85304038,18
2011,CIN,76181365,19
2011,HOU,70694000,20
2011,OAK,66536500,21
2011,WAS,63681929,22
2011,TOR,62517800,23
2011,FLO,56944000,24
2011,ARI,53639833,25
2011,CLE,49188867,26
2011,PIT,46047000,27
2011,SDN,45869140,28
2011,TBA,41932171,29
2011,KCN,36126400,30
2012,NYA,197962289,1
2012,PHI,174538938,2
2012,BOS,173186617,3
2012,ANA,154485166,4
2012,DET,132300000,5
2012,TEX,120510974,6
2012,FLO,118078000,7
2012,SFN,117620683,8
2012,SLN,110300862,9
2012,MIL,97653944,10
2012,CHA,96919500,11
2012,LAN,95143575,12
2012,MIN,94085000,13
2012,NYN,93353983,14
2012,CHN,88197033,15
2012,ATL,83309942,16
2012,CIN,82203616,17
2012,SEA,81978100,18
2012,BAL,81428999,19
2012,WAS,81336143,20
2012,CLE,78430300,21
2012,COL,78069571,22
2012,TOR,75489200,23
2012,ARI,74284833,24
2012,TBA,64173500,25
2012,PIT,63431999,26
2012,KCN,60916225,27
2012,HOU,60651000,28
2012,OAK,55372500,29
2012,SDN,55244700,30
2013,NYA,228835490,1
2013,LAN,216597577,2
2013,PHI,165385714,3
2013,BOS,150655500,4
2013,DET,148414500,5
2013,SFN,140264334,6
2013,ANA,127896250,7
2013,CHA,119073277,8
2013,TOR,117527800,9
2013,SLN,115222086,10
2013,TEX,114090100,11
2013,WAS,114056769,12
2013,CIN,107491305,13
2013,CHN,104304676,14
2013,BAL,90993333,15
2013,ATL,89778192,16
2013,ARI,89100500,17
2013,MIL,82976944,18
2013,KCN,81491725,19
2013,PIT,79555000,20
2013,CLE,77772800,21
2013,MIN,75802500,22
2013,NYN,73396649,23
2013,SEA,72031143,24
2013,COL,71924071,25
2013,SDN,67143600,26
2013,OAK,60664500,27
2013,TBA,57895272,28
2013,FLO,36341900,29
2013,HOU,22062600,30
2014,LAN,235295219,1
2014,NYA,203812506,2
2014,PHI,180052723,3
2014,BOS,162817411,4
2014,DET,162228527,5
2014,ANA,155692000,6
2014,SFN,154185878,7
2014,TEX,136036172,8
2014,WAS,134704437,9
2014,TOR,132628700,10
2014,ARI,112688666,11
2014,CIN,112390772,12
2014,SLN,111020360,13
2014,ATL,110897341,14
2014,BAL,107406623,15
2014,MIL,103844806,16
2014,COL,95832071,17
2014,SEA,92081943,18
2014,KCN,92034345,19
2014,CHA,91159254,20
2014,SDN,90094196,21
2014,NYN,89051758,22
2014,CHN,89007857,23
2014,MIN,85776500,24
2014,OAK,83401400,25
2014,CLE,82534800,26
2014,PIT,78111667,27
2014,TBA,77062891,28
2014,FLO,47565400,29
2014,HOU,44544174,30
2015,LAN,272789040,1
2015,NYA,219282196,2
2015,BOS,187407202,3
2015,DET,173813750,4
2015,SFN,172672111,5
2015,WAS,164920505,6
2015,ANA,150933083,7
2015,TEX,142140873,8
2015,PHI,135827500,9
2015,TOR,122506600,10
2015,SLN,120869458,11
2015,SEA,119798060,12
2015,CHN,119006885,13
2015,CIN,117197072,14
2015,CHA,115238678,15
2015,KCN,113618650,16
2015,BAL,110146097,17
2015,MIN,108945000,18
2015,MIL,105002536,19
2015,COL,102006130,20
2015,NYN,101409244,21
2015,SDN,100675896,22
2015,ATL,97578565,23
2015,ARI,91518833,24
2015,PIT,88278500,25
2015,CLE,86091175,26
2015,OAK,86086667,27
2015,TBA,76061707,28
2015,HOU,70910100,29
2015,MIA,68479000,30
2016,LAN,223352402,1
2016,NYA,213472857,2
2016,BOS,182161414,3
2016,DET,172282250,4
2016,SFN,166495942,5
2016,WAS,166010977,6
2016,ANA,146449583,7
2016,TEX,144307373,8
2016,PHI,133048000,9
2016,TOR,126369628,10
2016,SEA,122706842,11
2016,SLN,120301957,12
2016,CIN,116732284,13
2016,CHN,116654522,14
2016,BAL,115587632,15
2016,KCN,112914525,16
2016,SDN,112895700,17
2016,MIN,108262000,18
2016,NYN,99626453,19
2016,CHA,98712867,20
2016,MIL,98683035,21
2016,COL,98261171,22
2016,ATL,87622648,23
2016,CLE,86339067,24
2016,PIT,85885832,25
2016,FLO,84637500,26
2016,OAK,80279166,27
2016,TBA,73649584,28
2016,ARI,70762833,29
2016,HOU,69064200,30