MLB,Chase Field,Arizona Diamondbacks,ARI,homename,lat,long 
3,MLB,Turner Field,Atlanta Braves,ATL,33.73527778,-84.38944444
4,MLB,Oriole Park at Camden Yards,Baltimore Orioles,BAL,39.28388889,-76.62166667
5,MLB,Fenway Park,Boston Red Sox,BOS,42.34638889,-71.0975
6,MLB,Wrigley Field,Chicago Cubs,CHC,41.94833333,-87.65555556
7,MLB,U.S. Cellular Field,Chicago White Sox,CHW,41.83,-87.63388889
8,MLB,Great American Ball Park,Cincinnati Reds,CIN,39.0975,-84.50666667
9,MLB,Progressive Field,Cleveland Indians,CLE,41.49583333,-81.68527778
10,MLB,Coors Field,Colorado Rockies,COL,39.75611111,-104.9941667
11,MLB,Comerica Park,Detroit Tigers,DET,42.33916667,-83.04861111
12,MLB,Minute Maid Park,Houston Astros,HOU,29.75694444,-95.35555556
13,MLB,Kauffman Stadium,Kansas City Royals,KCR,39.05138889,-94.48055556
14,MLB,Angel Stadium of Anaheim,Los Angeles Angels of Anaheim,LAA,33.80027778,-117.8827778
15,MLB,Dodger Stadium,Los Angeles Dodgers,LAD,34.07361111,-118.24
16,MLB,Marlins Park,Miami Marlins,MIA,25.77805556,-80.21972222
17,MLB,Miller Park,Milwaukee Brewers,MIL,43.02833333,-87.97111111
18,MLB,Target Field,Minnesota Twins,MIN,44.98166667,-93.27833333
19,MLB,Citi Field,New York Mets,NYM,40.75694444,-73.84583333
20,MLB,Yankee Stadium,New York Yankees,NYY,40.82916667,-73.92638889
21,MLB,O.co Coliseum,Oakland Athletics,OAK,37.75166667,-122.2005556
22,MLB,Citizens Bank Park,Philadelphia Phillies,PHI,39.90583333,-75.16638889
23,MLB,PNC Park,Pittsburgh Pirates,PIT,40.44694444,-80.00583333
24,MLB,Petco Park,San Diego Padres,SDP,32.70729983,-117.1565998
25,MLB,Safeco Field,Seattle Mariners,SEA,47.59138889,-122.3325
26,MLB,AT&T Park,San Francisco Giants,SFG,37.77833333,-122.3894444
27,MLB,Busch Stadium,St. Louis Cardinals,STL,38.6225,-90.19305556
28,MLB,Tropicana Field,Tampa Bay Rays,TBR,27.76833333,-82.65333333
29,MLB,Rangers Ballpark in Arlington,Texas Rangers,TEX,32.75138889,-97.08277778
30,MLB,Rogers Centre,Toronto Blue Jays,TOR,43.64138889,-79.38916667
31,MLB,Nationals Park,Washington Nationals,WAS,38.87277778,-77.0075